SUM(p_size);p_category
0.27020098146330307;MFGR#32
0.2765783483618682;MFGR#13
0.49561645069627924;MFGR#52
0.41429457084623955;MFGR#43
0.35657927533075406;MFGR#14
0.5015531667861606;MFGR#51
0.820114902886253;MFGR#22
0.34164524753638376;MFGR#54
0.5728515346356158;MFGR#12
0.34984615329746693;MFGR#44
0.4233134705043292;MFGR#45
0.39979148842781803;MFGR#15
0.5348991233888929;MFGR#35
0.36937954414253826;MFGR#34
0.30561347589365545;MFGR#31
0.45395044003082013;MFGR#25
0.6899154315770566;MFGR#33
0.5946865682150753;MFGR#11
0.5098137233369111;MFGR#24
0.26213727079485605;MFGR#21
0.5324570327342147;MFGR#23
0.2345404981645859;MFGR#53
0.40798925353180204;MFGR#41
0.45522233642607357;MFGR#42
0.42671294660175974;MFGR#55
