query_no,query,cardinality_predict,cardinality_true,latency_ms
0,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info mi,movie_info_idx mi_idx where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.kind_id = 1 and t.production_year < 2012 and mc.company_id > 7851 and mi.info_type_id > 16 and mi_idx.info_type_id = 101;",236256596.8774735,994094709,3.7208301946520805
1,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and t.kind_id < 7 and t.production_year > 1936 and ci.person_id > 1487650 and ci.role_id < 8 and mk.keyword_id = 16264;",299851.52827996016,539979,4.85428050160408
2,"SELECT COUNT(*) from title t,movie_companies mc,movie_info mi,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and mc.company_id < 5569 and mc.company_type_id = 1 and mi.info_type_id > 1 and mi_idx.info_type_id = 99 and mk.keyword_id < 10833;",491561566.04861116,1360323800,2.9649464413523674
3,"SELECT COUNT(*) from title t,movie_companies mc,movie_info mi,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and mc.company_id > 11203 and mc.company_type_id = 2 and mi.info_type_id = 8 and mi_idx.info_type_id = 101 and mk.keyword_id = 52288;",177.8646192933699,24,2.4798475205898285
4,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and t.kind_id > 1 and mc.company_type_id = 2 and ci.person_id > 990535 and ci.role_id = 2 and mi_idx.info_type_id = 101;",12045259.688851295,10919218,4.19609434902668
5,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info mi,movie_info_idx mi_idx where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.kind_id < 7 and t.production_year > 2010 and ci.person_id < 614751 and mi.info_type_id < 16 and mi_idx.info_type_id < 100;",95825713.18562017,30826466,4.059379920363426
6,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info mi,movie_info_idx mi_idx where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.production_year = 2012 and mc.company_id = 139 and ci.role_id > 10 and mi.info_type_id = 3 and mi_idx.info_type_id = 100;",28.85507189646358,6,3.0298149213194847
7,"select count(*) from title t,cast_info ci,movie_keyword mk,movie_info mi,movie_info_idx mi_idx where t.id=ci.movie_id and t.id=mi.movie_id and t.id=mk.movie_id and t.id=mi_idx.movie_id and t.production_year > 1974 and mi_idx.info_type_id = 100 and t.kind_id < 7 and mi.info_type_id > 46 and ci.role_id = 3;",705909695.1004696,318496002,3.2894276082515717
8,"select count(*) from title t,cast_info ci,movie_keyword mk,movie_info mi,movie_info_idx mi_idx where t.id=ci.movie_id and t.id=mi.movie_id and t.id=mk.movie_id and t.id=mi_idx.movie_id and t.production_year > 1974 and mi_idx.info_type_id = 100 and t.kind_id < 7 and mi.info_type_id > 46 and ci.person_id = 139310",209.03698987552025,37,2.3269159719347954
9,"select count(*) from title t,cast_info ci,movie_keyword mk,movie_info mi,movie_info_idx mi_idx where t.id=ci.movie_id and t.id=mi.movie_id and t.id=mk.movie_id and t.id=mi_idx.movie_id and t.production_year < 1974 and mi_idx.info_type_id = 100 and t.kind_id < 7 and mi.info_type_id > 46 and ci.person_id = 139310;",100.4357745381533,136,3.8168998435139656
