query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info mi,movie_info_idx mi_idx where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.kind_id = 1 and t.production_year < 2012 and mc.company_id > 7851 and mi.info_type_id > 16 and mi_idx.info_type_id = 101;",863460244.9274697,994094709,2.7397070080041885,5,0.782577320933342
1,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and t.kind_id < 7 and t.production_year > 1936 and ci.person_id > 1487650 and ci.role_id < 8 and mk.keyword_id = 16264;",5035097.537011682,539979,3.737960010766983,5,1.845305785536766
2,"SELECT COUNT(*) from title t,movie_companies mc,movie_info mi,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and mc.company_id < 5569 and mc.company_type_id = 1 and mi.info_type_id > 1 and mi_idx.info_type_id = 99 and mk.keyword_id < 10833;",587956052.6775798,1360323800,2.3471973836421967,5,0.7943268865346909
3,"SELECT COUNT(*) from title t,movie_companies mc,movie_info mi,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and mc.company_id > 11203 and mc.company_type_id = 2 and mi.info_type_id = 8 and mi_idx.info_type_id = 101 and mk.keyword_id = 52288;",68.58771800699253,24,1.8076635897159576,3,0.516919419169426
4,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and t.kind_id > 1 and mc.company_type_id = 2 and ci.person_id > 990535 and ci.role_id = 2 and mi_idx.info_type_id = 101;",12124268.120809395,10919218,3.0298009514808655,5,1.3223756104707718
5,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info mi,movie_info_idx mi_idx where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.kind_id < 7 and t.production_year > 2010 and ci.person_id < 614751 and mi.info_type_id < 16 and mi_idx.info_type_id < 100;",90100656.90145473,30826466,3.1894929707050323,5,1.3191774487495422
6,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info mi,movie_info_idx mi_idx where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.production_year = 2012 and mc.company_id = 139 and ci.role_id > 10 and mi.info_type_id = 3 and mi_idx.info_type_id = 100;",10.736643241517282,6,2.195797860622406,5,0.5376916378736496
7,"select count(*) from title t,cast_info ci,movie_keyword mk,movie_info mi,movie_info_idx mi_idx where t.id=ci.movie_id and t.id=mi.movie_id and t.id=mk.movie_id and t.id=mi_idx.movie_id and t.production_year > 1974 and mi_idx.info_type_id = 100 and t.kind_id < 7 and mi.info_type_id > 46 and ci.role_id = 3;",686298160.6865742,318496002,2.998022362589836,7,0.6158221513032913
8,"select count(*) from title t,cast_info ci,movie_keyword mk,movie_info mi,movie_info_idx mi_idx where t.id=ci.movie_id and t.id=mi.movie_id and t.id=mk.movie_id and t.id=mi_idx.movie_id and t.production_year > 1974 and mi_idx.info_type_id = 100 and t.kind_id < 7 and mi.info_type_id > 46 and ci.person_id = 139310",203.07943776619882,37,1.8491800874471664,1,0.787738710641861
9,"select count(*) from title t,cast_info ci,movie_keyword mk,movie_info mi,movie_info_idx mi_idx where t.id=ci.movie_id and t.id=mi.movie_id and t.id=mk.movie_id and t.id=mi_idx.movie_id and t.production_year < 1974 and mi_idx.info_type_id = 100 and t.kind_id < 7 and mi.info_type_id > 46 and ci.person_id = 139310;",108.65731862104688,136,3.6738645285367966,7,1.2637823820114136
