query_id,true_cardinality, estimated_cardinality, estimated_cardinality_75_25
0,715,934.8655089163694,1593.5350928036253,0.921216
1,9,2.290324221505508,1.9444698957609106,0.0384283
2,47,13.76564886492521,21.05978407878667,0.155194
3,16,4.515447807853993,4.990996017311798,0.0297218
4,148552,219708.984265595,295738.33660202386,0.511803
5,62682311,61473670.42475064,60311415.55265748,0.018542
6,11990578,15581829.580408314,13046442.986368356,0.211448
7,157041640,157373887.0205255,141958223.97248164,0.0981629
8,850677,385258.3133855769,545637.4830227675,0.188531
9,179616,125489.74123307607,155576.96325865772,0.167509
10,2031666,797305.8503435935,1239429.686931719,0.217616
11,6333736,6119869.394435804,8502216.608177137,0.376136
12,1931628,2028153.6639413487,2840292.3057350293,0.420443
13,12738520,11902955.99171585,16423207.54529042,0.354849
14,1224,30.939428210612483,42.29092296614494,0.0092741
15,13221,13608.98034935409,32797.46374777217,1.45136
16,33,1.0,0.9999999999999998,6.72862e-18
17,1224,230.21502608477124,304.4818108032334,0.0606755
18,114182642,120245544.3511159,94875096.7633049,0.222192
19,4533382,4502644.540004386,4867934.654128143,0.0805778
20,695701,690983.5595976633,746716.1133981588,0.0801099
21,21454165,21316034.03117451,22887212.310007304,0.0732342
22,13355828,14232661.548387395,17469997.40899743,0.242391
23,4450853,5493216.750181773,6391509.270950988,0.201825
24,794591,577672.8327463117,650370.6628302863,0.0914909
25,4893440,5864256.595398715,6540141.973204746,0.138121
26,1381288,1565043.2843409907,1795173.6957242729,0.166606
27,8720023,10078799.809824374,11105391.382452097,0.117728
28,2873214,3598094.700039941,3811246.3412509523,0.0741858
29,56965403,57072195.967360854,60012547.84934533,0.0516165
30,7153,8424.536257930582,11963.978789955361,0.494819
31,14102,22179.230899477534,38127.626397938475,1.13093
32,31339132,19379095.432329528,29047503.702753093,0.308509
33,75440,92417.94017398747,108771.8048670866,0.21678
34,72,6.465505490153803,7.365772080907317,0.0125037
35,305691,375084.53601305827,441809.89933734736,0.218277
36,1919495,1214396.1681214022,1637341.5276001992,0.220342
37,150780,292127.94866859086,344076.7281210297,0.344534
38,3243247,3511865.761824638,3848089.0722554508,0.103669
39,1043763,1283084.1004075175,1514027.5861197351,0.22126
40,512575801,317133594.8813703,376674882.7953407,0.116161
41,206778521,112918826.9068316,135319742.13119242,0.108333
42,625302823,464189306.1325981,545596723.4010392,0.130189
43,7796926,19360584.762293667,25815900.175440945,0.827931
44,1831108,1816914.2309247854,2121960.9288553735,0.166591
45,2936093,3541668.1117989053,4206488.022080944,0.22643
46,16461908,15570608.261191411,17984149.493399136,0.146614
47,24675801,27464549.760492854,31642387.427880075,0.169309
48,132317651,142441532.50629932,200609380.3673362,0.439608
49,90649862,98141620.5834157,113625195.93558615,0.170806
50,151179813,130440378.07452877,135851740.1312712,0.0357942
51,84217062,77241691.15003473,69373332.17165372,0.0934295
52,333474,796957.7954985163,1162097.0927914907,1.09496
53,307213,733220.7094238577,1041867.0195094494,1.00467
54,658557,1586792.7726383288,2280744.668557341,1.05375
55,8275169,7269282.373168081,8763409.008430526,0.180555
56,5060606,5250443.312234733,6334541.928533229,0.214223
57,1352809555,1298655920.1836414,1764948522.3221548,0.344685
58,191935,46388.236104690666,87189.27442791536,0.212577
59,9537310863,9820136379.471682,12054850000.88896,0.234313
60,492943940,464091812.4381829,543818871.1437198,0.161737
61,32355583,39423296.88918466,50682546.52862795,0.347985
62,81495003,28802215.85720598,44287532.618192665,0.190016
63,51282842,17627830.76210484,26389438.551143195,0.170849
64,19006,47436.889368164666,64944.211582100004,0.921147
65,26718423,22116331.035968535,26391657.74170896,0.160014
66,15813608,13196274.801346902,15870300.764475388,0.169097
67,1067496,712654.0127865566,852430.5413365382,0.130939
68,268172,309633.78594145103,336557.278446953,0.100396
69,258385218,239524053.59576163,296852345.97303957,0.221871
