query_id,true_cardinality, estimated_cardinality, estimated_cardinality_title.production_year_lt_2013
0,715,934.8655089163694,964.5260040145342,0.0414832
1,9,2.290324221505508,2.305892138211099,0.00172977
2,47,13.76564886492521,12.504072045789203,0.0268421
3,16,4.515447807853993,4.573288403149945,0.00361504
4,148552,219708.984265595,223044.57210616066,0.022454
5,62682311,61473670.42475064,44628879.8043051,0.268733
6,11990578,15581829.580408314,8389072.076872235,0.599867
7,157041640,157373887.0205255,108357457.984265,0.312124
8,850677,385258.3133855769,383491.23697864305,0.00207726
9,179616,125489.74123307607,112222.73795776514,0.0738631
10,2031666,797305.8503435935,812888.831400482,0.00767005
11,6333736,6119869.394435804,5941666.315171691,0.0281355
12,1931628,2028153.6639413487,1708137.7410286432,0.165672
13,12738520,11902955.99171585,11916861.154859496,0.00109158
14,1224,30.939428210612483,13.973238519283294,0.0138613
15,13221,13608.98034935409,6.036408525786655,1.02889
16,33,1.0,36.837145207059585,1.08597
17,1224,230.21502608477124,116.19140233024915,0.0931566
18,114182642,120245544.3511159,120734961.50016668,0.00428627
19,4533382,4502644.540004386,4628860.962668833,0.0278416
20,695701,690983.5595976633,710355.8344158122,0.0278457
21,21454165,21316034.03117451,21913615.159737397,0.0278539
22,13355828,14232661.548387395,14338537.08205171,0.00792729
23,4450853,5493216.750181773,5573743.878509339,0.0180925
24,794591,577672.8327463117,512398.1418197939,0.0821488
25,4893440,5864256.595398715,5682511.751061609,0.0371405
26,1381288,1565043.2843409907,1619216.3463042662,0.0392192
27,8720023,10078799.809824374,9905023.619274708,0.0199284
28,2873214,3598094.700039941,3089014.584136983,0.177181
29,56965403,57072195.967360854,57028266.2587766,0.000771165
30,7153,8424.536257930582,8706.849984405453,0.0394679
31,14102,22179.230899477534,28427.911791167295,0.443106
32,31339132,19379095.432329528,21664639.378072042,0.0729294
33,75440,92417.94017398747,94648.76283738407,0.0295708
34,72,6.465505490153803,33.3802297761685,0.373816
35,305691,375084.53601305827,384905.02932499506,0.0321256
36,1919495,1214396.1681214022,1243902.9402762917,0.0153722
37,150780,292127.94866859086,258578.55598156844,0.222506
38,3243247,3511865.761824638,3536951.135565728,0.00773465
39,1043763,1283084.1004075175,1286136.5562707612,0.00292447
40,512575801,317133594.8813703,337293420.1676785,0.0393304
41,206778521,112918826.9068316,125069792.42664479,0.0587632
42,625302823,464189306.1325981,482247355.677428,0.0288789
43,7796926,19360584.762293667,19713412.800916683,0.0452522
44,1831108,1816914.2309247854,1080933.3620028172,0.401932
45,2936093,3541668.1117989053,3347303.3422197537,0.0661984
46,16461908,15570608.261191411,13885138.392787175,0.102386
47,24675801,27464549.760492854,28129666.256903414,0.0269542
48,132317651,142441532.50629932,146811453.8655217,0.033026
49,90649862,98141620.5834157,98532849.07995197,0.00431582
50,151179813,130440378.07452877,134116986.0619422,0.0243194
51,84217062,77241691.15003473,78645676.5275486,0.016671
52,333474,796957.7954985163,822309.7999991869,0.0760239
53,307213,733220.7094238577,758684.0274256505,0.0828849
54,658557,1586792.7726383288,1639414.6792260422,0.0799049
55,8275169,7269282.373168081,7169843.921774589,0.0120165
56,5060606,5250443.312234733,5002586.526330882,0.0489777
57,1352809555,1298655920.1836414,1417699176.0161057,0.0879971
58,191935,46388.236104690666,38446.232546699146,0.0413786
59,9537310863,9820136379.471682,11216108937.126234,0.14637
60,492943940,464091812.4381829,836344184.7084292,0.755162
61,32355583,39423296.88918466,38884652.65669956,0.0166476
62,81495003,28802215.85720598,29336532.917965032,0.00655644
63,51282842,17627830.76210484,17690968.463843226,0.00123117
64,19006,47436.889368164666,48792.409446148784,0.0713206
65,26718423,22116331.035968535,23142068.446596134,0.0383906
66,15813608,13196274.801346902,13636002.278392568,0.0278069
67,1067496,712654.0127865566,817347.7708982102,0.0980741
68,268172,309633.78594145103,322973.16264095757,0.0497419
69,258385218,239524053.59576163,260466420.31482232,0.0810509
