query_id,true_cardinality, estimated_cardinality, estimated_cardinality_90_10
0,715,910.0485017395869,1131.1051733972,0.30917
1,9,2.344691375431929,2.203445713221028,0.015694
2,47,13.586079426592361,16.10388627577402,0.0535704
3,16,3.57036694650317,3.7557073150697886,0.0115838
4,148552,219708.0392201986,250498.70945199596,0.207272
5,62682311,44533113.796659544,51328342.23956101,0.108407
6,11990578,9414428.459588073,10619291.96261877,0.100484
7,157041640,105624983.7940954,122400875.06367636,0.106824
8,850677,339458.28297460335,424236.191562712,0.0996593
9,179616,105487.81140556892,129966.25963949288,0.136282
10,2031666,734622.7479912371,923277.9351253079,0.0928574
11,6333736,6145290.936129461,6984606.905453768,0.132515
12,1931628,2037329.1208700277,2260833.7052493924,0.115708
13,12738520,11943208.645336183,13684770.904224856,0.136716
14,1224,30.904908624924342,36.07444348039613,0.00422348
15,13221,9242.99391845037,28772.668936009934,1.47717
16,33,0.9999999999999999,1.0,3.36431e-18
17,1224,230.49659562461522,266.80759605545603,0.0296659
18,114182642,110890199.62613147,82659249.03065553,0.247244
19,4533382,4510600.341549827,4640728.302216923,0.0287044
20,695701,692452.1439317195,711593.9165184201,0.0275144
21,21454165,21323319.19489367,21945881.092352767,0.0290182
22,13355828,16332201.961004667,16791047.47122046,0.0343555
23,4450853,5979570.269734632,6147311.334252584,0.0376874
24,794591,605468.2145134108,619374.1180699165,0.0175007
25,4893440,6081377.22435803,6325393.831405991,0.0498661
26,1381288,1674020.138142536,1731096.3671689162,0.041321
27,8720023,10343511.90910161,10757184.77320067,0.0474394
28,2873214,3545088.126802059,3687026.576010625,0.0494006
29,56965403,56038917.91054765,58259335.39523175,0.0389784
30,7153,8409.95602717244,9621.071579279938,0.169316
31,14102,28324.78719923209,32294.383088170103,0.281492
32,31339132,21346659.248827454,24488437.385063834,0.100251
33,75440,92155.99183742343,97214.19424221483,0.0670493
34,72,30.904337681666725,27.61522207800809,0.0456822
35,305691,374485.3230189711,394447.7956457905,0.0653028
36,1919495,1202502.5422087924,1407618.700013661,0.106859
37,150780,297317.05370468996,309416.8678970629,0.0802481
38,3243247,3489823.173882409,3678495.406049852,0.0581739
39,1043763,1297817.395760137,1376749.5475865114,0.0756227
40,512575801,331291768.1610638,351623909.52871364,0.0396666
41,206778521,120764527.84936127,128010015.95425683,0.0350398
42,625302823,474722013.33329743,504593939.4264331,0.0477719
43,7796926,19380028.262737412,22146209.73539514,0.354778
44,1831108,1085318.4157787443,1369075.9881252756,0.154965
45,2936093,3553933.5612399923,3737077.4915811964,0.0623767
46,16461908,13699509.392955834,17226955.400117356,0.214279
47,24675801,24998155.516773947,26664919.993686534,0.0675465
48,132317651,227197732.72407913,233904756.10079217,0.0506888
49,90649862,91559925.39824657,97532480.6686895,0.065886
50,151179813,152069793.8672165,115196817.68604168,0.243901
51,84217062,83135450.80814895,60639903.69587661,0.267114
52,333474,796375.0355525141,919343.7517123977,0.368751
53,307213,735789.5003327068,886305.1724786038,0.489939
54,658557,1588749.8213201098,1872478.566940902,0.430834
55,8275169,7317094.032301771,7717952.773776128,0.0484412
56,5060606,5261178.484062448,5545803.275528838,0.0562432
57,1352809555,1189251889.0637848,1233729912.1264305,0.0328783
58,191935,47459.44912998394,73299.05983766768,0.134627
59,9537310863,9778286029.611197,10349427763.284315,0.059885
60,492943940,802434510.6301254,988131514.3025072,0.37671
61,32355583,39929440.30554413,41210368.68695372,0.0395891
62,81495003,26506470.88618984,33271309.501603,0.0830092
63,51282842,15843590.987886999,19897595.089572985,0.0790519
64,19006,47228.74886298398,54286.27185920303,0.371331
65,26718423,22658699.318440072,23916222.168972746,0.0470658
66,15813608,13494355.56942059,14247697.93650749,0.0476389
67,1067496,717406.2455088209,761097.3936210597,0.0409286
68,268172,310520.1169698299,326855.18858613545,0.0609127
69,258385218,246799328.7506675,259534029.10079524,0.0492857
