query_id,true_cardinality, estimated_cardinality, estimated_cardinality_title.production_year_lt_2001
0,715,936.7034626327211,2392.2778786969743,2.03577
1,9,2.269453990196583,2.7834622188575113,0.057112
2,47,13.653284037677428,24.611390735990593,0.233151
3,16,4.498155874031922,8.022992542848417,0.220302
4,148552,219709.24119379194,367104.9104480817,0.992216
5,62682311,61473670.424750656,76863687.79991929,0.245524
6,11990578,15581829.580408316,18613998.22294044,0.252879
7,157041640,157373887.0205255,201975654.29231617,0.284012
8,850677,384453.3315052811,952824.000731533,0.668139
9,179616,125242.89153159701,309659.0865298708,1.02672
10,2031666,796036.3339413714,1896374.8686752687,0.541594
11,6333736,6154729.441811425,11062525.516328692,0.774866
12,1931628,2049950.0845067194,3708021.628998145,0.85838
13,12738520,11894698.189932091,21130751.336924024,0.725049
14,1224,30.850219690744797,79.01427402974188,0.0393497
15,13221,13608.98034935409,13321.569318762684,0.021739
16,33,1.0,0.9999999999999999,3.36431e-18
17,1224,230.31186072241033,559.8100273082089,0.269198
18,114182642,120245544.35111588,135873365.98151246,0.136867
19,4533382,4502644.540004386,5240765.321396539,0.162819
20,695701,690983.5595976633,802760.522418531,0.160668
21,21454165,21316034.03117451,24802519.48315751,0.162509
22,13355828,14232661.548387397,16593093.89403782,0.176734
23,4450853,5493216.750181773,6542773.197393861,0.23581
24,794591,577672.8327463117,733695.056044378,0.196355
25,4893440,5864256.595398715,6301830.532768597,0.0894205
26,1381288,1565043.284340991,1706905.3496009742,0.102703
27,8720023,10078799.809824374,11816422.68135753,0.199268
28,2873214,3598094.700039941,4244586.013239114,0.225006
29,56965403,57072195.96736086,66469673.934673555,0.164968
30,7153,8405.55032626568,15284.0506695608,0.961625
31,14102,28327.042705853706,47319.635183390616,1.3468
32,31339132,21368936.430585746,36387476.99512642,0.479226
33,75440,92612.62910746271,129867.2128714705,0.493831
34,72,6.465550115611077,48.375092691578395,0.582077
35,305691,376069.0012774317,531952.4383564887,0.509938
36,1919495,1212035.1092571851,2286974.3782992763,0.560011
37,150780,292239.14136684645,374525.80555879476,0.54574
38,3243247,3510648.192381309,5636902.664558467,0.655594
39,1043763,1285728.4942471487,1735636.2121140966,0.431044
40,512575801,317133594.8813703,368389045.3782715,0.0999958
41,206778521,112918826.90683156,130326719.5225818,0.0841862
42,625302823,464189306.13259816,559213665.6891714,0.151965
43,7796926,19397858.91030581,30892071.873002686,1.4742
44,1831108,1835140.7036517058,2650763.858083953,0.445426
45,2936093,3549067.9836010076,4636478.257322134,0.37036
46,16461908,15726805.654543173,33274841.62353338,1.06598
47,24675801,27464549.760492854,32111369.01184941,0.188315
48,132317651,142441532.50629932,123777879.06237923,0.141052
49,90649862,98141620.58341572,114653168.9243039,0.182146
50,151179813,130440378.07452878,124944783.96632463,0.0363514
51,84217062,77241691.15003473,68975021.07742833,0.0981591
52,333474,798591.2321742325,1145105.6507774957,1.0391
53,307213,727233.4403775461,987494.7129263928,0.847169
54,658557,1581344.548822255,2226835.2819021624,0.980159
55,8275169,7284405.713446552,9465225.425707173,0.263538
56,5060606,5261298.894798017,6797429.421722152,0.303547
57,1352809555,1298655920.1836414,1174298219.493278,0.0919255
58,191935,46648.75731666581,141312.95111499555,0.49321
59,9537310863,9820136379.471682,10293020549.859093,0.0495825
60,492943940,468747374.3894404,2004687434.6836731,3.11585
61,32355583,39506939.69597597,54578359.53713273,0.465806
62,81495003,28934196.334825274,69716520.8131436,0.500427
63,51282842,17687058.379509993,42276254.93678452,0.479482
64,19006,46739.98840287436,68703.1307585686,1.15559
65,26718423,22166995.219463464,30387808.9576096,0.307683
66,15813608,13223471.886697492,17673261.379795387,0.28139
67,1067496,712634.3345720759,960682.371705977,0.232364
68,268172,309635.76660351397,449006.66540581913,0.519707
69,258385218,240086473.89397228,341927134.89601916,0.394143
