query_id,true_cardinality, estimated_cardinality, estimated_cardinality_title.production_year_lt_1983
0,715,936.7034626327211,452.2402413279657,0.677571
1,9,2.269453990196583,2.4597230088659217,0.021141
2,47,13.653284037677428,25.68978003786551,0.256096
3,16,4.498155874031922,6.521948291515347,0.126487
4,148552,219709.24119379194,444323.7399057859,1.51203
5,62682311,61473670.424750656,88600936.34897225,0.432774
6,11990578,15581829.580408316,17827229.985385243,0.187264
7,157041640,157373887.0205255,212189818.61310393,0.349053
8,850677,384453.3315052811,1065566.0646189693,0.800671
9,179616,125242.89153159701,312344.73309329693,1.04168
10,2031666,796036.3339413714,2379087.7620614856,0.779189
11,6333736,6154729.441811425,13208984.442767577,1.11376
12,1931628,2049950.0845067194,4401372.841864037,1.21733
13,12738520,11894698.189932091,25404852.197863832,1.06057
14,1224,30.850219690744797,98.85985084743459,0.0555634
15,13221,13608.98034935409,8716.697052856673,0.370039
16,33,1.0,1.0,0
17,1224,230.31186072241033,604.96073001661,0.306086
18,114182642,120245544.35111588,144310683.74844798,0.21076
19,4533382,4502644.540004386,5610377.3097613165,0.24435
20,695701,690983.5595976633,870435.5302022642,0.257944
21,21454165,21316034.03117451,26503391.858623836,0.241788
22,13355828,14232661.548387397,20128642.089578286,0.441454
23,4450853,5493216.750181773,7344559.532220414,0.415952
24,794591,577672.8327463117,744820.8373945628,0.210357
25,4893440,5864256.595398715,7856490.208301655,0.407123
26,1381288,1565043.284340991,2131494.5195956393,0.410089
27,8720023,10078799.809824374,13282897.813475216,0.367441
28,2873214,3598094.700039941,4626757.647701067,0.358018
29,56965403,57072195.96736086,70620131.87760234,0.237827
30,7153,8405.55032626568,18062.64032107693,1.35008
31,14102,28327.042705853706,45535.25498531342,1.22027
32,31339132,21368936.430585746,42824129.761243515,0.684614
33,75440,92612.62910746271,133994.76018953804,0.548544
34,72,6.465550115611077,100.23319935850184,1.30233
35,305691,376069.0012774317,549296.6518209403,0.566676
36,1919495,1212035.1092571851,2859471.1409757794,0.858265
37,150780,292239.14136684645,434800.9623532974,0.945496
38,3243247,3510648.192381309,5634130.098373799,0.654739
39,1043763,1285728.4942471487,1822944.6642329467,0.514692
40,512575801,317133594.8813703,423545053.5637696,0.207601
41,206778521,112918826.90683156,149143480.7487407,0.175186
42,625302823,464189306.13259816,635155788.7035134,0.273414
43,7796926,19397858.91030581,36764549.61712334,2.22738
44,1831108,1835140.7036517058,3384657.8971960763,0.846218
45,2936093,3549067.9836010076,4222290.873970216,0.229292
46,16461908,15726805.654543173,42635603.30649912,1.63461
47,24675801,27464549.760492854,29729902.817738958,0.0918046
48,132317651,142441532.50629932,278619989.763517,1.02918
49,90649862,98141620.58341572,110555755.73532583,0.136946
50,151179813,130440378.07452878,188541000.06522593,0.384315
51,84217062,77241691.15003473,110333043.51130034,0.392929
52,333474,798591.2321742325,1465359.7337726534,1.99946
53,307213,727233.4403775461,1293932.3904235996,1.84465
54,658557,1581344.548822255,2867982.6023423444,1.95372
55,8275169,7284405.713446552,9956576.033532217,0.322914
56,5060606,5261298.894798017,7174587.982192711,0.378075
57,1352809555,1298655920.1836414,1241448491.291206,0.0422879
58,191935,46648.75731666581,124522.46097583928,0.40573
59,9537310863,9820136379.471682,11039968740.20577,0.127901
60,492943940,468747374.3894404,2747393966.3488617,4.62253
61,32355583,39506939.69597597,48540411.76780666,0.279194
62,81495003,28934196.334825274,77757096.95099702,0.599091
63,51282842,17687058.379509993,45342561.479701936,0.539274
64,19006,46739.98840287436,84664.38020636262,1.99539
65,26718423,22166995.219463464,31584921.182833143,0.352488
66,15813608,13223471.886697492,18424466.12124962,0.328894
67,1067496,712634.3345720759,979401.8789467178,0.2499
68,268172,309635.76660351397,445592.5271376158,0.506976
69,258385218,240086473.89397228,326230329.68418324,0.333393
